=== Following is the header of samples/154967/KimEtAl2013/sample_output-mesh.txt ===
element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
13  1.1429 1.1429 0.0000 1.2857 1.1429 0.0000 1.2857 1.0000 0.0000 1.1429 1.0000 0.0000 0.0081633 0.40000
14  1.2857 2.0000 0.0000 1.4286 2.0000 0.0000 1.4286 1.8571 0.0000 1.2857 1.8571 0.0000 0.0081633 0.40000
15  1.2857 1.8571 0.0000 1.4286 1.8571 0.0000 1.4286 1.7143 0.0000 1.2857 1.7143 0.0000 0.0081633 0.40000
16  1.2857 1.7143 0.0000 1.4286 1.7143 0.0000 1.4286 1.5714 0.0000 1.2857 1.5714 0.0000 0.0081633 0.40000
17  1.2857 1.5714 0.0000 1.4286 1.5714 0.0000 1.4286 1.4286 0.0000 1.2857 1.4286 0.0000 0.0081633 0.40000
18  1.2857 1.4286 0.0000 1.4286 1.4286 0.0000 1.4286 1.2857 0.0000 1.2857 1.2857 0.0000 0.0081633 0.40000
19  1.2857 1.2857 0.0000 1.4286 1.2857 0.0000 1.4286 1.1429 0.0000 1.2857 1.1429 0.0000 0.0081633 0.40000
20  1.2857 1.1429 0.0000 1.4286 1.1429 0.0000 1.4286 1.0000 0.0000 1.2857 1.0000 0.0000 0.0081633 0.40000
21  1.4286 2.0000 0.0000 1.5714 2.0000 0.0000 1.5714 1.8571 0.0000 1.4286 1.8571 0.0000 0.0081633 0.40000
22  1.4286 1.8571 0.0000 1.5714 1.8571 0.0000 1.5714 1.7143 0.0000 1.4286 1.7143 0.0000 0.0081633 0.40000
23  1.4286 1.7143 0.0000 1.5714 1.7143 0.0000 1.5714 1.5714 0.0000 1.4286 1.5714 0.0000 0.0081633 0.40000
24  1.4286 1.5714 0.0000 1.5714 1.5714 0.0000 1.5714 1.4286 0.0000 1.4286 1.4286 0.0000 0.0081633 0.40000
25  1.4286 1.4286 0.0000 1.5714 1.4286 0.0000 1.5714 1.2857 0.0000 1.4286 1.2857 0.0000 0.0081633 0.40000
26  1.4286 1.2857 0.0000 1.5714 1.2857 0.0000 1.5714 1.1429 0.0000 1.4286 1.1429 0.0000 0.0081633 0.40000
27  1.4286 1.1429 0.0000 1.5714 1.1429 0.0000 1.5714 1.0000 0.0000 1.4286 1.0000 0.0000 0.0081633 0.40000
28  1.5714 2.0000 0.0000 1.7143 2.0000 0.0000 1.7143 1.8571 0.0000 1.5714 1.8571 0.0000 0.0081633 0.40000
29  1.5714 1.8571 0.0000 1.7143 1.8571 0.0000 1.7143 1.7143 0.0000 1.5714 1.7143 0.0000 0.0081633 0.40000
30  1.5714 1.7143 0.0000 1.7143 1.7143 0.0000 1.7143 1.5714 0.0000 1.5714 1.5714 0.0000 0.0081633 0.40000
31  1.5714 1.5714 0.0000 1.7143 1.5714 0.0000 1.7143 1.4286 0.0000 1.5714 1.4286 0.0000 0.0081633 0.40000
32  1.5714 1.4286 0.0000 1.7143 1.4286 0.0000 1.7143 1.2857 0.0000 1.5714 1.2857 0.0000 0.0081633 0.40000
33  1.5714 1.2857 0.0000 1.7143 1.2857 0.0000 1.7143 1.1429 0.0000 1.5714 1.1429 0.0000 0.0081633 0.40000
34  1.5714 1.1429 0.0000 1.7143 1.1429 0.0000 1.7143 1.0000 0.0000 1.5714 1.0000 0.0000 0.0081633 0.40000
35  1.7143 2.0000 0.0000 1.8571 2.0000 0.0000 1.8571 1.8571 0.0000 1.7143 1.8571 0.0000 0.0081633 0.40000
36  1.7143 1.8571 0.0000 1.8571 1.8571 0.0000 1.8571 1.7143 0.0000 1.7143 1.7143 0.0000 0.0081633 0.40000
37  1.7143 1.7143 0.0000 1.8571 1.7143 0.0000 1.8571 1.5714 0.0000 1.7143 1.5714 0.0000 0.0081633 0.40000
38  1.7143 1.5714 0.0000 1.8571 1.5714 0.0000 1.8571 1.4286 0.0000 1.7143 1.4286 0.0000 0.0081633 0.40000


=== Following is the header of samples/154967/KimEtAl2013/sample_output-slow-conc.txt ===
